DATE,EURO_CPI
1/1/1996,70.4
2/1/1996,70.71
3/1/1996,71.01
4/1/1996,71.14
5/1/1996,71.32
6/1/1996,71.33
7/1/1996,71.31
8/1/1996,71.27
9/1/1996,71.44
10/1/1996,71.52
11/1/1996,71.53
12/1/1996,71.73
1/1/1997,71.95
2/1/1997,72.11
3/1/1997,72.2
4/1/1997,72.18
5/1/1997,72.38
6/1/1997,72.41
7/1/1997,72.46
8/1/1997,72.58
9/1/1997,72.65
10/1/1997,72.69
11/1/1997,72.79
12/1/1997,72.88
1/1/1998,72.82
2/1/1998,73
3/1/1998,73.1
4/1/1998,73.28
5/1/1998,73.43
6/1/1998,73.47
7/1/1998,73.47
8/1/1998,73.49
9/1/1998,73.47
10/1/1998,73.45
11/1/1998,73.45
12/1/1998,73.49
1/1/1999,73.44
2/1/1999,73.61
3/1/1999,73.85
4/1/1999,74.11
5/1/1999,74.16
6/1/1999,74.16
7/1/1999,74.26
8/1/1999,74.35
9/1/1999,74.43
10/1/1999,74.47
11/1/1999,74.57
12/1/1999,74.83
1/1/2000,74.86
2/1/2000,75.1
3/1/2000,75.37
4/1/2000,75.45
5/1/2000,75.54
6/1/2000,75.8
7/1/2000,75.87
8/1/2000,75.93
9/1/2000,76.26
10/1/2000,76.3
11/1/2000,76.46
12/1/2000,76.75
1/1/2001,76.43
2/1/2001,76.66
3/1/2001,77.07
4/1/2001,77.54
5/1/2001,77.9
6/1/2001,78.02
7/1/2001,77.84
8/1/2001,77.78
9/1/2001,77.99
10/1/2001,78.06
11/1/2001,78.01
12/1/2001,78.36
1/1/2002,78.45
2/1/2002,78.58
3/1/2002,79.02
4/1/2002,79.38
5/1/2002,79.52
6/1/2002,79.49
7/1/2002,79.41
8/1/2002,79.46
9/1/2002,79.66
10/1/2002,79.85
11/1/2002,79.79
12/1/2002,80.17
1/1/2003,80.14
2/1/2003,80.46
3/1/2003,80.93
4/1/2003,81.05
5/1/2003,81
6/1/2003,81.1
7/1/2003,80.98
8/1/2003,81.1
9/1/2003,81.39
10/1/2003,81.51
11/1/2003,81.54
12/1/2003,81.79
1/1/2004,81.61
2/1/2004,81.8
3/1/2004,82.32
4/1/2004,82.74
5/1/2004,83.01
6/1/2004,83.05
7/1/2004,82.88
8/1/2004,83.04
9/1/2004,83.14
10/1/2004,83.46
11/1/2004,83.4
12/1/2004,83.72
1/1/2005,83.2
2/1/2005,83.5
3/1/2005,84.12
4/1/2005,84.47
5/1/2005,84.66
6/1/2005,84.75
7/1/2005,84.66
8/1/2005,84.86
9/1/2005,85.3
10/1/2005,85.52
11/1/2005,85.33
12/1/2005,85.62
1/1/2006,85.24
2/1/2006,85.48
3/1/2006,85.98
4/1/2006,86.55
5/1/2006,86.79
6/1/2006,86.85
7/1/2006,86.75
8/1/2006,86.83
9/1/2006,86.83
10/1/2006,86.9
11/1/2006,86.94
12/1/2006,87.27
1/1/2007,86.83
2/1/2007,87.08
3/1/2007,87.66
4/1/2007,88.22
5/1/2007,88.43
6/1/2007,88.52
7/1/2007,88.31
8/1/2007,88.37
9/1/2007,88.71
10/1/2007,89.15
11/1/2007,89.63
12/1/2007,89.98
1/1/2008,89.67
2/1/2008,89.98
3/1/2008,90.87
4/1/2008,91.17
5/1/2008,91.74
6/1/2008,92.09
7/1/2008,91.95
8/1/2008,91.82
9/1/2008,92
10/1/2008,92.03
11/1/2008,91.59
12/1/2008,91.47
1/1/2009,90.73
2/1/2009,91.1
3/1/2009,91.44
4/1/2009,91.76
5/1/2009,91.8
6/1/2009,91.99
7/1/2009,91.38
8/1/2009,91.69
9/1/2009,91.71
10/1/2009,91.92
11/1/2009,92.02
12/1/2009,92.31
1/1/2010,91.56
2/1/2010,91.85
3/1/2010,92.86
4/1/2010,93.24
5/1/2010,93.35
6/1/2010,93.35
7/1/2010,92.95
8/1/2010,93.13
9/1/2010,93.42
10/1/2010,93.71
11/1/2010,93.79
12/1/2010,94.36
1/1/2011,93.69
2/1/2011,94.08
3/1/2011,95.35
4/1/2011,95.89
5/1/2011,95.9
6/1/2011,95.89
7/1/2011,95.34
8/1/2011,95.52
9/1/2011,96.22
10/1/2011,96.55
11/1/2011,96.64
12/1/2011,96.96
1/1/2012,96.18
2/1/2012,96.66
3/1/2012,97.91
4/1/2012,98.36
5/1/2012,98.23
6/1/2012,98.15
7/1/2012,97.64
8/1/2012,98.02
9/1/2012,98.73
10/1/2012,98.96
11/1/2012,98.76
12/1/2012,99.11
1/1/2013,98.09
2/1/2013,98.45
3/1/2013,99.61
4/1/2013,99.52
5/1/2013,99.63
6/1/2013,99.73
7/1/2013,99.2
8/1/2013,99.32
9/1/2013,99.8
10/1/2013,99.68
11/1/2013,99.6
12/1/2013,99.95
1/1/2014,98.84
2/1/2014,99.14
3/1/2014,100.07
4/1/2014,100.22
5/1/2014,100.11
6/1/2014,100.22
7/1/2014,99.57
8/1/2014,99.68
9/1/2014,100.12
10/1/2014,100.06
11/1/2014,99.88
12/1/2014,99.78
1/1/2015,98.24
2/1/2015,98.85
3/1/2015,100
4/1/2015,100.43
5/1/2015,100.71
6/1/2015,100.72
7/1/2015,100.11
8/1/2015,100.12
9/1/2015,100.32
10/1/2015,100.45
11/1/2015,100.01
12/1/2015,100.03
1/1/2016,98.56
2/1/2016,98.73
3/1/2016,99.96
4/1/2016,100.17
5/1/2016,100.59
6/1/2016,100.77
7/1/2016,100.28
8/1/2016,100.34
9/1/2016,100.72
10/1/2016,100.96
11/1/2016,100.6
12/1/2016,101.13
1/1/2017,100.26
2/1/2017,100.66
3/1/2017,101.49
4/1/2017,102.07
5/1/2017,101.98
6/1/2017,102.08
7/1/2017,101.62
8/1/2017,101.89
9/1/2017,102.29
10/1/2017,102.34
11/1/2017,102.14
12/1/2017,102.49
1/1/2018,101.56
2/1/2018,101.78
3/1/2018,102.91
4/1/2018,103.32
5/1/2018,103.97
6/1/2018,104.09
7/1/2018,103.85
8/1/2018,104.01
9/1/2018,104.42
10/1/2018,104.68
11/1/2018,104.1
12/1/2018,104.05
1/1/2019,102.97
2/1/2019,103.3
